level,QRCode,Phase,Message
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12002,完成,[12002] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12003,完成,[12003] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12004,完成,[12004] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12005,完成,[12005] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12006,完成,[12006] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12007,完成,[12007] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12008,完成,[12008] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12009,完成,[12009] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12010,完成,[12010] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12011,完成,[12011] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12012,完成,[12012] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12013,完成,[12013] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12014,完成,[12014] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12015,完成,[12015] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12016,完成,[12016] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12017,完成,[12017] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12018,完成,[12018] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12019,完成,[12019] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12020,完成,[12020] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12021,完成,[12021] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12022,完成,[12022] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12023,完成,[12023] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12024,完成,[12024] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12025,完成,[12025] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12026,完成,[12026] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12027,完成,[12027] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12028,完成,[12028] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12029,完成,[12029] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12030,完成,[12030] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12031,完成,[12031] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12032,完成,[12032] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12033,完成,[12033] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12034,完成,[12034] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12035,完成,[12035] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12036,完成,[12036] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12037,完成,[12037] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12038,完成,[12038] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12039,完成,[12039] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12040,完成,[12040] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12041,完成,[12041] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12042,完成,[12042] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12043,完成,[12043] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12044,完成,[12044] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12045,完成,[12045] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12046,完成,[12046] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12047,完成,[12047] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12048,完成,[12048] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12049,完成,[12049] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12050,完成,[12050] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12051,完成,[12051] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12052,完成,[12052] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12053,完成,[12053] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12054,完成,[12054] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12055,完成,[12055] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12056,完成,[12056] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12057,完成,[12057] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12058,完成,[12058] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12059,完成,[12059] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12060,完成,[12060] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12061,完成,[12061] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12062,完成,[12062] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12063,完成,[12063] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12064,完成,[12064] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
error,12065,完成,[12065] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
